交易日期,股票代码,股票简称,开盘价,最高价,最低价,收盘价,昨收价,涨跌额,涨跌幅,振幅(%),成交量(手),成交额(千元),复权因子,换手率(%),换手率(自由流通股),量比,市盈率(静态),市盈率(TTM),市盈率(动态),市净率,市销率,市销率(TTM),股息率(%),股息率(TTM)(%),总股本(万股),流通股本(万股),自由流通股本(万),总市值(万元),流通市值(万元),股东人数,行业,地域
19910404,000001.SZ,深发展A,0.428,0.428,0.428,0.428,0.4301,-0.0021,-0.0049,0.0,3.0,15.0,1.0,0.0011,0.0011,,33.3667,33.3667,,9.999,,,,,4850.0171,2650.0,2650.0,236486.8338,129214.0,,,
19910405,000001.SZ,深发展A,0.4259,0.4259,0.4259,0.4259,0.428,-0.0021,-0.0049,0.0,2.0,10.0,1.0,0.0008,0.0008,,33.2025,33.2025,,9.9498,,,,,4850.0171,2650.0,2650.0,235322.8297,128578.0,,,
19910408,000001.SZ,深发展A,0.4216,0.4216,0.4216,0.4216,0.4259,-0.0042,-0.0101,0.0,2.0,10.0,1.0,0.0008,0.0008,,32.874,32.874,,9.8514,,,,,4850.0171,2650.0,2650.0,232994.8215,127306.0,,,
19910409,000001.SZ,深发展A,0.4195,0.4195,0.4195,0.4195,0.4216,-0.0021,-0.005,0.0,4.0,19.0,1.0,0.0015,0.0015,,32.7098,32.7098,,9.8022,,,,,4850.0171,2650.0,2650.0,231830.8174,126670.0,,,
19910410,000001.SZ,深发展A,0.4174,0.4174,0.4174,0.4174,0.4195,-0.0021,-0.005,0.0,15.0,71.0,1.0,0.0057,0.0057,6.25,32.5456,32.5456,,9.7529,,,,,4850.0171,2650.0,2650.0,230666.8133,126034.0,,,
19910412,000001.SZ,深发展A,0.4132,0.4132,0.4132,0.4132,0.4174,-0.0042,-0.0101,0.0,8.0,38.0,1.0,0.003,0.003,1.54,32.2171,32.2171,,9.6545,,,,,4850.0171,2650.0,2650.0,228338.8051,124762.0,,,
19910416,000001.SZ,深发展A,0.4071,0.4071,0.4071,0.4071,0.4132,-0.0061,-0.0148,0.0,2.0,9.0,1.0,0.0008,0.0008,0.32,31.7381,31.7381,,9.511,,,,,4850.0171,2650.0,2650.0,224943.7931,122907.0,,,
19910417,000001.SZ,深发展A,0.4051,0.4051,0.4051,0.4051,0.4071,-0.002,-0.0049,0.0,1.0,5.0,1.0,0.0004,0.0004,0.16,31.5807,31.5807,,9.4638,,,,,4850.0171,2650.0,2650.0,223828.2892,122297.5,,,
19910418,000001.SZ,深发展A,0.403,0.403,0.403,0.403,0.4051,-0.002,-0.0052,0.0,4.0,18.0,1.0,0.0015,0.0015,0.67,31.4233,31.4233,,9.4166,,,,,4850.0171,2650.0,2650.0,222712.7852,121688.0,,,
19910419,000001.SZ,深发展A,0.401,0.401,0.401,0.401,0.403,-0.002,-0.005,0.0,2.0,9.0,1.0,0.0008,0.0008,0.33,31.2659,31.2659,,9.3695,,,,,4850.0171,2650.0,2650.0,221597.2813,121078.5,,,
