X,y
52984.57,0.8219
80817.46,4.9856
40578.74,1.4591
25019.98,2.3904
40823.01,-0.7905
28170.899999999998,0.5964
19634.0,1.6162
22757.81,0.6098
8670.67,-1.2048
17478.73,3.2124
16789.6,-1.127
21453.58,-3.7475
38712.939999999995,2.4242
16763.95,1.7472
8759.119999999999,-1.6178
14823.67,-1.001
12216.86,-0.3988
15952.88,-1.763
27152.96,1.1893
27662.1,2.7495
24109.8,0.409
7583.76,1.2422
8038.81,-1.1259
8598.66,0.308
9953.679999999998,-0.9156
10974.52,0.7172
8902.74,-2.4
16180.74,-0.7937
12778.81,0.1988
16765.170000000002,1.3092
16168.78,2.1605
15447.69,-1.2195
11539.66,-0.6061
9961.75,-0.5025
7953.85,0.0
14687.87,0.7085
9256.17,2.0661
9194.060000000001,-2.2222
9620.67,-0.2016
7541.06,1.4315
18620.010000000002,0.7209
13545.48,-1.2208
13304.2,1.4448
15900.18,0.2068
13954.01,-4.1625
39281.58,0.1986
10160.05,-0.3956
11880.75,-0.2959
13098.07,-0.7828
14667.07,-0.7767
15650.17,-0.7707
23972.72,3.1809
29158.01,-0.9843
14913.54,-0.3922
21218.51,-3.7736
54421.07,2.2179
32480.36,1.7664
58779.17,1.6966
21816.989999999998,1.8293
14339.28,0.6135
12014.65,3.2735
20587.629999999997,-1.1482
7321.41,0.7361
7033.5,1.0627
6296.35,0.9657
8386.27,-2.9167
11870.93,-0.9288
10970.9,0.8325
4651.62,-2.4365
15295.62,-1.1044
9622.83,0.2012
16385.43,2.686
21350.23,1.2552
8994.52,0.1047
6065.52,-1.5464
6428.52,2.537
10549.41,1.2848
6603.28,0.5382
8012.23,0.0
9922.28,-1.589
10522.23,0.7471
10961.33,-3.4021
18235.28,-4.9951
32683.7,3.8657
32873.75,0.4086
10599.210000000001,0.7202
13296.7,-3.5714
23152.72,0.0993
15595.95,-2.4225
23205.64,-2.9163
31754.27,0.5676
49061.62,4.9652
36714.09,-1.564
27547.02,0.2941
46319.18,0.9901
50951.7,0.8991
38161.280000000006,0.1
43023.95,-4.0307
66136.29,-5.0137
69380.45,-5.0216
103243.89,5.0
25357.300000000003,4.9618
52657.52,5.01
46640.88,3.6345
55549.86,0.8377
16647.5,0.1048
17979.469999999998,1.7058
16002.31,-2.3933
22956.63,0.9454
23668.42,-1.3472
19949.41,3.7634
37618.78,4.9661
29872.03,1.1416
11778.72,-1.0169
11518.7,0.454
15822.43,0.8009
13407.91,1.7462
22964.95,-3.0474
26582.61,0.3398
13356.61,3.0338
12046.640000000001,2.0238
8665.37,-2.5522
8596.34,-0.1159
5121.59,-0.8046
8769.5,-1.4723
7804.3099999999995,0.3409
11973.119999999999,2.924
19267.03,1.7857
14315.4,1.8182
16499.19,3.2541
10221.96,-1.358
10888.85,-4.0284
11875.08,0.9569
8973.33,-1.4151
8287.32,-1.0502
11155.03,2.7578
9990.29,-3.6952
13899.23,-4.3094
25654.6,-0.5495
11980.02,-1.087
13060.94,1.5453
20456.9,-5.0314
42474.06,-2.8513
46802.48,5.0267
79392.34999999999,0.2144
17408.18,1.7448
14368.29,0.8801
10160.1,-1.8359
14467.73,-1.4894
15962.21,-0.1063
12584.41,0.213
11495.0,1.4039
15009.41,-0.8565
13870.74,-1.8908
15784.869999999999,1.8182
16112.37,-0.1068
11375.04,-3.7037
33498.84,2.7484
26132.97,-3.764
33051.07,-2.0916
21818.82,2.9744
28279.82,0.6192
24362.64,-2.7108
31203.63,-2.2571
42342.95,3.1377
36184.46,2.0661
35094.08,-1.0225
35163.16,-1.2121
46424.49,3.8825
80711.37999999999,-1.2435
27449.94,1.9007
43012.07,2.1575
59477.65,4.983
26182.8,0.4551
22236.69,-4.973
34950.15,0.4343
17550.84,-1.8124
25070.03,1.6251
39444.49,-2.6371
45861.8,1.9355
38883.69,2.99
37676.420000000006,1.1198
27530.08,0.0
25097.86,0.7901
35311.9,4.9763
41915.71,2.0556
29276.36,-5.0517
51124.45,-2.5727
41093.909999999996,-0.1117
34009.6,-4.4824
76256.01,-4.9696
18507.37,-5.0096
36502.86,2.9762
64645.55,5.0
49276.64,-0.3115
46402.19,5.0164
20397.11,2.9181
28942.09,0.3378
18890.89,-3.268
31709.87,0.0
22422.44,-1.0776
23222.07,-0.1076
23151.260000000002,-2.1075
36227.28,1.7149
27863.920000000002,1.0834
17560.85,0.2172
